Model;Sampling Frec;Carry Frec;Bits Num;Noise;BER;EbNo(dB)
BPSK;16384;4096;2048;2.8;0.244140625;0
BPSK;16384;4096;2048;2.5;0.21044921875;1
BPSK;16384;4096;2048;2.2;0.18896484375;2
BPSK;16384;4096;2048;2.0;0.1455078125;3
BPSK;16384;4096;2048;1.8;0.1357421875;4
BPSK;16384;4096;2048;1.6;0.10498046875;5
BPSK;16384;4096;2048;1.4;0.0791015625;6
BPSK;16384;4096;2048;1.3;0.06005859375;7
BPSK;16384;4096;2048;1.1;0.037109375;8
BPSK;16384;4096;2048;1.0;0.01953125;9
BPSK;16384;4096;2048;0.9;0.0146484375;10
BPSK;16384;4096;2048;0.8;0.0068359375;11
QPSK;16384;4096;2048;2.8;0.1572265625;0
QPSK;16384;4096;2048;2.5;0.12548828125;1
QPSK;16384;4096;2048;2.2;0.107421875;2
QPSK;16384;4096;2048;2.0;0.07861328125;3
QPSK;16384;4096;2048;1.8;0.05908203125;4
QPSK;16384;4096;2048;1.6;0.0341796875;5
QPSK;16384;4096;2048;1.4;0.02392578125;6
QPSK;16384;4096;2048;1.3;0.0166015625;7
QPSK;16384;4096;2048;1.1;0.00244140625;8
QPSK;16384;4096;2048;1.0;0.0029296875;9
QPSK;16384;4096;2048;0.9;0.0;10
QPSK;16384;4096;2048;0.8;0.0;11
ASK;16384;4096;2048;1.4;0.46484375;0
ASK;16384;4096;2048;1.3;0.4814453125;1
ASK;16384;4096;2048;1.1;0.4619140625;2
ASK;16384;4096;2048;1.0;0.4521484375;3
ASK;16384;4096;2048;0.9;0.435546875;4
ASK;16384;4096;2048;0.8;0.37646484375;5
ASK;16384;4096;2048;0.7;0.35400390625;6
ASK;16384;4096;2048;0.6;0.2890625;7
ASK;16384;4096;2048;0.6;0.24560546875;8
ASK;16384;4096;2048;0.5;0.2119140625;9
ASK;16384;4096;2048;0.4;0.15478515625;10
ASK;16384;4096;2048;0.4;0.1259765625;11
